Word,Count
1.,1
What,3
is,9
CSS?,4
Cascading,2
Style,1
Sheets,1
fondly,1
referred,1
to,20
as,3
"CSS,",4
a,13
simply,3
designed,1
language,2
intended,1
simplify,1
the,25
process,1
of,21
making,2
web,8
pages,1
presentable.,1
CSS,20
allows,1
you,4
apply,2
styles,2
pages.,3
More,1
"importantly,",1
enables,1
do,2
this,2
independent,1
HTML,5
that,5
makes,1
up,2
each,1
page.,2
easy,1
learn,1
and,9
"understood,",1
but,2
it,2
provides,1
powerful,1
control,2
over,2
presentation,1
an,4
document.,1
2.,1
Why,1
we,3
use,4
We,1
because,2
following,1
reasons:,1
saves,1
time:,1
You,1
can,5
write,1
once,2
reuse,1
same,1
sheet,2
on,3
multiple,4
Easy,2
Maintenance:,1
To,1
make,1
global,1
change,4
"style,",1
all,3
elements,2
in,3
webpages,1
will,2
be,2
updated,1
automatically.,1
Search,1
Engines:,1
considered,1
clean,1
coding,1
"technique,",1
which,2
means,1
search,1
engines,1
won’t,1
have,1
struggle,1
“read”,1
its,1
content.,1
Superior,1
HTML:,1
has,2
much,1
wider,1
array,1
attributes,1
than,1
"HTML,",1
so,1
give,1
far,1
better,1
look,1
your,1
page,3
comparison,1
attributes.,1
Offline,1
Browsing:,1
store,1
applications,1
locally,1
with,3
help,1
offline,2
cache.,1
Using,1
view,1
websites.,1
3.,1
are,11
advantages,1
plays,1
important,1
"role,",1
by,1
using,2
got,1
specify,1
repeated,1
style,3
for,8
element,1
&,1
times,1
automatically,1
required,1
styles.,1
The,3
main,1
advantage,1
applied,1
consistently,1
across,2
variety,1
sites.,1
One,1
instruction,1
several,1
areas,1
advantageous.,1
Web,1
designers,1
need,3
few,1
lines,1
programming,1
every,1
improving,1
site,1
speed.,1
not,2
only,1
simplifies,2
website,2
development,1
also,1
maintenance,2
one,2
line,1
code,1
affects,2
whole,1
time.,1
It,5
less,1
complex,1
therefore,1
effort,1
significantly,1
reduced.,1
helps,2
form,1
spontaneous,1
consistent,1
changes.,1
changes,3
device,1
friendly.,1
With,2
people,1
employing,1
batch,1
various,1
range,1
smart,1
devices,1
access,1
websites,1
"web,",1
there’s,1
requirement,1
responsive,1
design.,1
power,1
re-positioning.,1
us,1
determine,1
within,1
position,1
there,1
These,1
bandwidth,1
savings,1
substantial,1
figures,1
insignificant,1
tags,1
indistinct,1
from,1
mess,1
user,1
customize,1
online,1
reduces,1
file,1
transfer,1
size.,1
4.,1
disadvantages,1
1,1
"CSS3,",1
result,1
creating,1
confusion,2
among,1
browsers.,4
what,1
works,2
browser,1
might,2
always,1
work,1
another.,1
developers,1
test,1
"compatibility,",1
running,1
program,1
There,3
exists,1
scarcity,1
security.,1
After,1
confirm,1
compatibility,2
if,1
they,1
appear.,1
A,1
similar,1
programing,1
world,1
complicated,1
non-developers,2
beginners.,2
Different,1
levels,2
i.e.,1
"2,",1
3,1
often,1
quite,1
confusing.,1
Browser,1
(some,1
sheets,1
supported,1
some,1
not).,1
differently,1
different,2
IE,1
Opera,1
support,1
logic.,1
cross-browser,1
issues,1
while,1
CSS.,1
create,1
